Unnamed: 0,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
29,female,group D,master's degree,standard,none,62,70,75
535,female,group C,bachelor's degree,free/reduced,completed,66,83,83
695,female,group D,some college,free/reduced,none,79,89,86
557,male,group C,master's degree,free/reduced,none,61,67,66
836,male,group E,high school,standard,none,73,64,57
596,male,group B,high school,free/reduced,none,30,24,15
165,female,group C,bachelor's degree,standard,completed,96,100,100
918,female,group C,associate's degree,standard,completed,57,77,80
495,male,group D,high school,standard,completed,68,64,66
824,female,group C,some high school,free/reduced,none,48,58,52
65,male,group B,some high school,standard,none,67,64,61
141,female,group C,some college,free/reduced,none,59,62,64
925,male,group E,some high school,standard,completed,74,64,60
827,female,group C,some high school,standard,none,65,69,76
655,female,group B,some college,standard,none,62,67,67
331,male,group C,associate's degree,standard,none,47,37,35
664,male,group D,associate's degree,standard,none,80,63,63
249,male,group C,high school,standard,none,68,60,53
907,female,group D,some college,standard,completed,79,84,91
708,male,group D,high school,standard,none,89,87,79
305,male,group A,some college,standard,none,69,67,69
734,female,group E,some college,free/reduced,none,53,58,57
975,female,group C,some college,standard,completed,64,82,77
49,male,group C,high school,standard,completed,82,84,82
896,male,group B,high school,free/reduced,none,36,29,27
2,female,group B,master's degree,standard,none,90,95,93
544,female,group D,master's degree,standard,none,64,63,66
350,female,group B,bachelor's degree,standard,none,52,65,69
904,female,group D,some high school,free/reduced,none,67,84,84
536,male,group C,associate's degree,standard,completed,51,60,58
344,male,group D,some college,standard,none,79,73,67
994,male,group A,high school,standard,none,63,63,62
481,female,group D,associate's degree,free/reduced,none,52,59,56
575,male,group A,associate's degree,free/reduced,completed,40,55,53
33,male,group D,some college,standard,none,40,42,38
31,female,group B,some college,standard,none,63,65,61
231,male,group C,associate's degree,standard,none,46,43,42
963,female,group C,some high school,free/reduced,completed,65,76,75
192,female,group B,some high school,standard,none,62,64,66
333,male,group B,associate's degree,standard,none,90,78,81
3,male,group A,associate's degree,free/reduced,none,47,57,44
204,male,group C,some college,standard,none,59,41,42
514,female,group B,master's degree,free/reduced,completed,77,97,94
799,female,group C,associate's degree,standard,none,52,55,57
306,male,group E,some college,standard,completed,99,87,81
109,female,group B,some high school,standard,none,70,64,72
430,male,group C,associate's degree,free/reduced,none,64,66,59
77,male,group A,bachelor's degree,standard,completed,80,78,81
84,male,group D,high school,free/reduced,none,42,39,34
286,male,group E,associate's degree,standard,completed,97,82,88
82,male,group A,some college,free/reduced,completed,50,47,54
991,female,group B,some high school,standard,completed,65,82,78
789,female,group C,master's degree,free/reduced,none,52,65,61
894,female,group E,associate's degree,standard,none,59,62,69
398,male,group B,some high school,standard,none,74,63,57
323,female,group C,some high school,free/reduced,none,43,53,53
519,female,group B,high school,free/reduced,completed,67,78,79
916,male,group E,bachelor's degree,standard,completed,100,100,100
922,male,group D,high school,standard,none,72,66,66
5,female,group B,associate's degree,standard,none,71,83,78
731,male,group A,some high school,free/reduced,none,55,46,43
465,female,group C,some college,standard,none,84,87,91
97,female,group E,some college,standard,completed,63,72,70
266,female,group C,bachelor's degree,standard,none,63,75,81
357,female,group C,some college,free/reduced,completed,42,66,69
868,male,group E,associate's degree,free/reduced,completed,78,74,72
798,male,group E,some college,standard,none,69,60,54
380,female,group B,associate's degree,standard,none,80,86,83
631,male,group B,high school,standard,none,79,60,65
381,male,group C,associate's degree,standard,completed,87,100,95
490,female,group A,associate's degree,free/reduced,none,65,85,76
118,female,group D,some high school,standard,none,51,63,61
900,male,group D,master's degree,standard,none,85,84,89
250,male,group A,some high school,standard,completed,47,49,49
523,male,group C,master's degree,free/reduced,none,54,59,50
9,female,group B,high school,free/reduced,none,38,60,50
196,male,group C,some high school,free/reduced,completed,59,69,65
603,male,group D,high school,free/reduced,none,60,57,51
81,male,group B,high school,free/reduced,none,49,45,45
783,female,group C,associate's degree,standard,completed,52,59,62
587,female,group C,bachelor's degree,free/reduced,none,44,63,62
797,female,group E,associate's degree,free/reduced,none,70,84,81
239,male,group C,associate's degree,standard,none,84,80,80
290,male,group C,associate's degree,standard,none,76,70,68
211,male,group C,some college,free/reduced,none,35,28,27
717,female,group C,associate's degree,standard,completed,96,96,99
359,female,group D,some college,standard,none,80,90,89
449,male,group B,associate's degree,standard,none,81,73,72
227,male,group D,high school,standard,none,57,50,54
950,male,group E,high school,standard,none,94,73,71
946,male,group B,high school,standard,none,82,82,80
796,male,group D,high school,standard,none,70,70,70
501,female,group B,associate's degree,standard,completed,94,87,92
464,male,group A,bachelor's degree,standard,completed,75,58,62
362,female,group C,some college,standard,none,52,58,58
468,female,group A,high school,free/reduced,completed,77,88,85
935,male,group D,some college,free/reduced,none,70,63,58
428,male,group A,some high school,free/reduced,none,65,59,53
7,male,group B,some college,free/reduced,none,40,43,39
155,female,group C,some college,standard,completed,70,89,88
541,male,group D,associate's degree,free/reduced,completed,79,82,80
440,female,group C,some college,standard,completed,67,81,79
482,male,group C,some college,free/reduced,none,68,68,61
422,female,group D,master's degree,free/reduced,completed,47,58,67
778,female,group A,some college,standard,completed,72,79,82
949,female,group E,high school,free/reduced,completed,57,75,73
334,female,group C,bachelor's degree,standard,none,83,93,95
576,male,group A,some college,standard,completed,61,51,52
934,male,group C,associate's degree,standard,completed,98,87,90
567,female,group D,master's degree,free/reduced,completed,61,71,78
594,female,group C,bachelor's degree,standard,completed,92,100,99
530,female,group C,associate's degree,standard,completed,68,67,73
581,female,group E,some high school,standard,none,77,79,80
707,male,group C,some college,standard,none,66,59,52
448,male,group B,high school,standard,none,47,46,42
453,male,group C,some college,free/reduced,none,65,58,49
228,male,group A,some high school,free/reduced,none,68,72,64
352,female,group C,some college,standard,completed,63,78,80
728,female,group D,high school,free/reduced,none,73,92,84
212,female,group C,high school,free/reduced,none,42,62,60
79,female,group E,master's degree,standard,none,62,68,68
148,female,group D,bachelor's degree,standard,completed,68,75,81
302,female,group C,associate's degree,standard,completed,67,84,81
628,male,group D,some college,free/reduced,none,49,57,46
777,female,group C,some college,free/reduced,none,35,44,43
506,male,group A,high school,standard,none,68,70,66
342,female,group B,high school,standard,completed,69,76,74
485,male,group C,high school,standard,none,70,74,71
711,female,group E,some high school,standard,completed,80,85,85
133,female,group C,some college,standard,completed,75,81,84
703,female,group D,some college,standard,none,63,64,67
311,male,group B,bachelor's degree,standard,none,66,60,57
722,female,group B,some high school,free/reduced,completed,74,90,88
629,female,group C,some high school,standard,completed,44,51,55
0,female,group B,bachelor's degree,standard,none,72,72,74
316,female,group D,master's degree,standard,completed,77,82,91
706,male,group D,high school,standard,none,46,34,36
547,male,group C,high school,standard,completed,72,67,64
872,male,group B,associate's degree,standard,completed,82,84,78
532,male,group E,associate's degree,standard,completed,62,61,58
477,male,group D,associate's degree,standard,none,80,68,72
404,female,group C,high school,standard,none,54,59,62
172,female,group D,some college,standard,none,79,86,81
125,female,group B,high school,standard,none,87,95,86
394,female,group C,some high school,standard,completed,65,74,77
420,female,group C,associate's degree,free/reduced,completed,82,93,93
552,female,group B,associate's degree,standard,none,40,48,50
903,female,group D,bachelor's degree,free/reduced,completed,93,100,100
90,female,group C,bachelor's degree,standard,none,65,72,74
939,male,group D,some high school,standard,completed,77,68,69
181,female,group C,some college,free/reduced,none,46,64,66
274,male,group B,some college,standard,completed,88,85,76
895,female,group E,some high school,free/reduced,none,32,34,38
69,female,group C,associate's degree,standard,none,39,64,57
291,male,group D,some high school,standard,none,86,73,70
131,male,group C,some high school,free/reduced,completed,53,37,40
300,male,group A,some college,free/reduced,completed,81,78,81
424,male,group B,some college,free/reduced,none,41,39,34
326,male,group C,some college,standard,none,61,61,62
144,male,group D,some college,standard,none,88,73,78
423,female,group A,some high school,standard,completed,59,85,80
580,female,group D,some high school,standard,none,81,97,96
135,male,group C,bachelor's degree,standard,none,58,55,48
450,female,group C,some college,free/reduced,completed,64,85,85
164,female,group E,master's degree,standard,none,81,92,91
28,male,group C,high school,standard,none,70,70,65
