iter	Passed	Remaining
0	0	835
1	1	733
2	2	689
3	2	676
4	3	669
5	4	668
6	4	668
7	5	664
8	6	662
9	6	657
10	7	651
11	7	648
12	8	646
13	9	655
14	10	656
15	10	654
16	11	652
17	11	649
18	12	646
19	13	643
20	13	641
21	14	639
22	15	640
23	15	640
24	16	638
25	17	636
26	17	635
27	18	633
28	18	633
29	19	632
30	20	631
31	20	630
32	21	628
33	22	626
34	22	626
35	23	625
36	24	625
37	24	629
38	25	628
39	26	627
40	26	625
41	27	624
42	28	623
43	28	621
44	29	620
45	29	619
46	30	618
47	31	616
48	31	615
49	32	614
50	32	613
51	33	612
52	34	611
53	34	609
54	35	608
55	36	607
56	36	605
57	37	604
58	37	603
59	38	602
60	39	600
61	39	601
62	40	601
63	41	600
64	41	599
65	42	598
66	42	598
67	43	597
68	44	596
69	44	595
70	45	595
71	46	594
72	46	593
73	47	592
74	48	592
75	48	591
76	49	591
77	49	590
78	50	589
79	51	588
80	51	587
81	52	587
82	52	584
83	53	584
84	54	584
85	55	586
86	55	585
87	56	586
88	57	586
89	58	586
90	58	586
91	59	586
92	60	586
93	60	586
94	61	585
95	62	584
96	62	583
97	63	582
98	63	581
99	64	580
100	65	579
101	65	579
102	66	578
103	67	577
104	67	576
105	68	575
106	68	575
107	69	574
108	70	575
109	71	575
110	71	575
111	72	576
112	73	575
113	74	575
114	74	574
115	75	574
116	75	572
117	76	571
118	77	570
119	77	569
120	78	569
121	78	567
122	79	567
123	80	566
124	80	565
125	81	564
126	81	563
127	82	562
128	83	562
129	83	561
130	84	560
131	85	560
132	85	560
133	86	559
134	87	558
135	87	557
136	88	557
137	89	556
138	89	556
139	90	555
140	91	554
141	91	552
142	92	551
143	92	550
144	93	550
145	93	549
146	94	548
147	95	547
148	95	547
149	96	546
150	97	545
151	97	545
152	98	544
153	98	543
154	99	542
155	100	542
156	100	541
157	101	540
158	102	540
159	102	539
160	103	537
161	103	537
162	104	536
163	105	535
164	105	534
165	106	534
166	107	534
167	107	533
168	108	532
169	109	532
170	109	532
171	110	531
172	111	530
173	111	530
174	112	529
175	112	528
176	113	528
177	114	527
178	115	527
179	115	527
180	116	527
181	117	526
182	117	525
183	118	524
184	118	524
185	119	523
186	120	522
187	120	521
188	121	521
189	122	520
190	122	519
191	123	519
192	123	518
193	124	517
194	125	516
195	125	516
196	126	515
197	127	514
198	127	514
199	128	513
200	128	512
201	129	511
202	130	511
203	131	511
204	131	510
205	132	510
206	133	509
207	133	509
208	134	508
